vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	center_neg	sigma_neg	gamma_neg	amplitude_pos	center_pos	sigma_pos	gamma_pos	amplitude_neg_std	center_neg_std	sigma_neg_std	gamma_neg_std	amplitude_pos_std	center_pos_std	sigma_pos_std	gamma_pos_std
50	5	0.0	0.47588224966	4.35952519609	0.157967211733	8996.1487745	-6.62156060619	4.46764157586	4.25996101122	4005.98765576	5.27948217297	1.93702063153	-1.47177484065	3.62810200782	1.94829195087	0.649841746652	2.38425910126	4.99829831599	0.946152779147	0.433280763426	2.35467623866
100	5	0.0	0.47588224966	4.43700988306	0.150672396466	9003.29801525	-6.43161825791	5.68316812202	6.13316902422	3999.72247203	3.17464109938	1.98131264712	2.82834441845	1.73188333395	1.17158127867	0.902539599648	3.61617508524	2.57237854251	0.953982019109	0.518625116568	2.51024710809
50	10	0.0	0.47588224966	4.33041236722	0.306569273679	8994.53090219	-6.41272111793	3.56944697085	2.30468099641	3990.87002609	2.22233402571	3.21499181455	3.83946323207	4.49679181512	1.80010926918	0.573165438556	2.35309803093	3.73151646506	1.18135716059	0.44892386474	2.48234079413
100	10	0.0	0.47588224966	4.4028255088	0.290966945799	9000.63835239	-6.37024261797	3.95234683567	2.85089518102	4014.09995391	3.08107238549	2.77047833202	5.59440016782	3.21508497625	1.84348270962	0.603450244899	1.98983200449	3.9514330705	0.36956452374	0.520748420467	3.1756056368
50	15	0.0	0.47588224966	4.31592575247	0.426555059223	8996.80570551	-2.41179829748	2.85169778526	-1.25294229228	4003.14935782	5.29309290694	1.78654974337	-1.07344070176	4.84417786008	0.341176464487	0.439303568868	1.12975239436	1.49754159982	1.26068113204	0.53011989457	1.8392553084
100	15	0.0	0.47588224966	4.39050657164	0.400476809292	9005.96995127	-3.57200365566	2.85747207598	-0.773606170495	3997.93602902	4.66808963091	1.97952491936	-0.711945834677	2.2003361098	0.598869019446	0.502422763831	1.46620044655	2.67511408772	1.18307359299	0.687953992055	4.17785356308
50	20	0.0	0.47588224966	4.30179547375	0.497928821834	9002.76466564	-2.68553466574	3.08399501105	-1.44495396352	4007.17583323	5.94935826692	2.81948093004	-3.31527049775	2.27158339874	1.54352016907	0.474757097568	1.57628608849	4.07171273771	1.18700283515	0.749731812407	2.50316257954
100	20	0.0	0.47588224966	4.36957049481	0.461358452984	9004.59781736	-2.72528314146	2.78645856422	-1.07369031966	3986.96108391	6.47389626308	3.86954037015	-4.55592930864	3.26763951793	0.578954892683	0.501323856968	0.962071328667	3.25159280006	1.71325023811	0.587391016693	2.34649214968
50	5	0.47588224966	0.679673818908	4.38171798885	0.145726963502	9000.88360223	-6.62747436669	4.67054909322	3.42241551585	4004.75460213	2.7567310117	2.00874425939	1.63821962512	1.97907156369	0.979458403773	0.641604080289	1.62485413504	2.76965302576	1.11697644982	0.401984762365	1.98052630466
100	5	0.47588224966	0.679673818908	4.58635673768	0.117070667204	9002.22599122	-7.03816124861	5.62174951154	2.41810817017	4007.06801501	2.69397430331	3.86779764551	10.6083575508	3.04577387005	2.28582447473	0.992945999215	1.81499202601	4.61660941781	0.378103683917	0.628109406779	2.80869229974
50	10	0.47588224966	0.679673818908	4.32648502247	0.342106326404	9011.1511714	-5.73791096027	2.70519821234	1.22863370131	3993.0691979	2.13884602508	3.21642375025	3.15070881409	3.88339992405	1.20732940143	0.557804263471	1.27396591715	2.66770046614	1.06748308929	0.456919238213	1.59620833536
100	10	0.47588224966	0.679673818908	4.53156938608	0.287666187339	9011.01500641	-6.71727750058	4.26842403472	1.57422278732	4002.37069546	2.22034428618	3.69867676939	6.74757828239	4.51470799615	1.64260015693	0.556537628145	1.25095924797	3.77509576964	0.547436709478	0.678367145883	1.90175232657
50	15	0.47588224966	0.679673818908	4.32439259245	0.433879387247	9001.11400209	-2.37257960054	3.04617007226	-1.42353250001	4011.55084966	4.97143457033	1.99026892548	-0.808453889296	2.6938794234	1.33305987526	0.446259625141	1.17740650996	5.30739582056	1.38290086925	0.67589819223	2.88603287391
100	15	0.47588224966	0.679673818908	4.53460928543	0.352938964743	9001.57187714	-1.99432575897	3.76570863804	-1.68501674375	4007.17197885	1.83482034334	3.62581667572	1.6242902134	3.32395221233	0.811423056532	0.555809656073	0.962435508116	4.74028067036	1.17187118087	0.69396866309	1.67207399584
50	20	0.47588224966	0.679673818908	4.2868577801	0.542481342171	8989.88772761	-2.73469670751	2.88583829271	-2.43910027635	3994.80999507	6.39842155154	4.00635522841	-6.49063623562	3.51024820486	0.615713459227	0.459771475693	1.02318388478	5.34068103258	1.64768479301	0.572511798422	2.80413912596
100	20	0.47588224966	0.679673818908	4.49247884514	0.450637846115	9002.13808352	-2.20526115935	3.90131886565	-2.22573984993	4017.92943109	1.28872733589	4.90222650931	3.40852641828	1.9105659336	0.563058521366	0.467308399516	0.790670401398	3.98461519984	0.746067492805	0.8807775665	2.34738839566
50	5	0.679673818908	0.841068670568	4.42533002695	0.153340680309	8982.47032194	-6.53083366065	5.1638478051	6.18569942047	3989.61159409	2.53006026891	2.59990631569	2.38122818281	6.10956019711	1.27829971503	0.635290170207	1.69222518524	4.38630738184	0.477460668958	0.499880074852	2.36892295374
100	5	0.679673818908	0.841068670568	4.74089899852	0.116880926354	9013.72446917	-6.16363189155	4.72713199905	1.22685653661	3992.65558969	1.86128308321	4.29748833616	3.88488408739	3.60003161397	2.36699925898	0.805441101573	1.65916303249	4.69095126676	0.307084484524	0.533151121501	1.70824765844
