vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	sigma_neg	center_neg	gamma_neg	amplitude_pos	sigma_pos	center_pos	gamma_pos
100	20	0.981765356579	1.11024233511	13.1976861785	1.13243234816	9013.46319307	-22.2289266829	7.62720628777	0.93726161173	3985.68413839	6.92047642636	29.045333143	5.26154822924
50	5	1.11024233511	1.23095941734	15.7229698622	0.33123064503	9001.43188775	-10.1831479862	8.95276341634	-1.25197613151	4015.58149156	10.5561004545	6.52119805724	1.34051635014
100	5	1.11024233511	1.23095941734	16.012697407	0.313190623465	8993.50560881	-11.3287117086	9.19906713647	-0.827834322004	4002.47633382	11.4497897403	7.76776747613	1.37229279102
50	10	1.11024233511	1.23095941734	14.9908053969	0.646326510282	8995.45297048	-19.3481326728	6.60040591415	0.752791899313	3992.60037896	16.0243889283	6.73573269749	-0.527613913554
100	10	1.11024233511	1.23095941734	15.2692183354	0.617098486665	9002.16337458	-11.3803026685	8.73211599802	-1.13529645426	3991.72074922	8.7945096913	6.54138338758	0.644841719788
50	15	1.11024233511	1.23095941734	13.9389642636	0.953104064039	8993.92961403	-13.1522264527	7.71516873313	-1.15056726877	3990.8065442	3.36609310041	27.7195012931	23.1185934778
100	15	1.11024233511	1.23095941734	14.2208583613	0.897671175181	8992.11689227	-12.2694227814	8.82869310368	-1.23452876059	4001.45089096	6.82346866152	16.1087481662	1.38022121697
50	20	1.11024233511	1.23095941734	12.98596037	1.17905567451	8996.11113692	-22.0671735689	7.36999062325	1.11368596092	4008.70525653	5.01566155407	27.9029267204	10.6302392227
100	20	1.11024233511	1.23095941734	13.2874994472	1.10234543218	8999.43568124	-14.1893748494	8.27628820104	-1.25043526309	4000.52552594	-9.74715606003	40.5738714691	4.72338842491
50	5	1.23095941734	1.34670323449	15.7081817901	0.328502469373	9002.27905153	-20.8878104014	9.68464870044	1.32963004933	4007.51194153	17.2384222503	5.72293457475	-1.0667543047
100	5	1.23095941734	1.34670323449	16.0150741089	0.311687117296	9001.0765979	-20.8601691015	9.96043850415	1.18475726044	3995.17090333	9.69035447505	8.50275924378	1.9392671441
50	10	1.23095941734	1.34670323449	14.896060115	0.672860820119	8994.94698948	-19.5559244993	6.95981127314	0.787927614023	4006.68431303	19.0596809318	10.5368594832	-2.57817310585
100	10	1.23095941734	1.34670323449	15.2064017444	0.632001463361	8991.00002629	-17.8299833718	7.41908989111	0.322204909656	4002.97098351	6.95179826752	10.8114459892	2.33386549427
50	15	1.23095941734	1.34670323449	13.9451424629	0.957858816061	9005.40005482	-12.884432166	8.13671715434	-1.07133182953	4007.53913658	4.62883636455	17.8301350236	5.33107009023
100	15	1.23095941734	1.34670323449	14.2423900038	0.900171573387	8995.72914494	-12.0821841059	9.02374975482	-1.29594114901	4034.54564459	3.98241224753	20.0632450754	5.57508126415
50	20	1.23095941734	1.34670323449	13.0504234166	1.17755054054	9004.01662709	-13.7060814821	7.77794060865	-1.22044500267	3990.01762818	5.20848539783	33.3953004501	16.0216946351
100	20	1.23095941734	1.34670323449	13.3742842112	1.0986843474	9014.64832496	-16.6800036107	6.96874835904	-0.409425065066	4001.31576303	21.1475356176	25.8068420698	0.86023270024
50	5	1.34670323449	1.45945531245	15.6959174289	0.323888730649	9001.77532385	-8.4016399656	11.0665225932	-2.20960831744	3990.26284668	11.0972441629	5.80080013511	0.796201711622
100	5	1.34670323449	1.45945531245	15.9545481441	0.312480068909	8998.7986093	-9.63904488507	10.6374497739	-1.22768556027	3994.23650617	7.28893733699	11.1933658675	3.75141805982
50	10	1.34670323449	1.45945531245	15.1279515032	0.62366091193	8978.66734165	-16.5553988976	6.02742881676	-0.238513363507	3977.76788189	17.200869373	6.30170660088	-0.0686907619113
100	10	1.34670323449	1.45945531245	15.4504273939	0.589711048698	9005.35119791	-15.6352578327	7.54787120142	0.431709502315	4005.03999499	7.84038747687	12.8456227148	6.46819287335
50	15	1.34670323449	1.45945531245	14.1232731366	0.934825361374	8975.9953152	-12.7087845807	8.35904232723	-1.47571427065	4007.66447611	20.6397120679	13.6832840522	-4.05647706386
100	15	1.34670323449	1.45945531245	14.4350355709	0.874578763509	9007.55300007	-18.608894559	7.11403637806	0.146571433507	3984.70748111	3.1414999942	25.204186822	8.71688326741
50	20	1.34670323449	1.45945531245	13.0701301339	1.16311878267	9000.2636383	-18.786482572	6.14959953534	-0.149811052173	4005.05164778	0.720896314906	48.3976932136	15.553410543
100	20	1.34670323449	1.45945531245	13.4051117534	1.07476126099	8999.89061052	-14.8824166349	7.92510359138	-0.866778872028	3986.40369866	5.33130556964	40.3841786178	18.2048589287
50	5	1.45945531245	1.57079632679	15.6900412873	0.319427593083	8988.25400011	-22.1180014534	10.8570355852	1.69553421254	4007.39674809	11.0080272404	6.55556040582	1.33262757978
100	5	1.45945531245	1.57079632679	15.9578042577	0.298903450298	8993.5271622	-12.9965628496	9.02020652954	-0.600327079725	3998.09726891	11.0338540278	8.88648049617	0.840303572907
50	10	1.45945531245	1.57079632679	15.0919474328	0.619906222966	9003.19903271	-14.1168743263	6.7762035678	-0.429619886128	4007.98691393	7.1356445683	13.1078235761	14.2406525496
100	10	1.45945531245	1.57079632679	15.3994396942	0.585230998009	9005.50279297	-21.8142606789	8.85286127941	1.210787322	3991.59446946	12.3914537655	7.54284921816	0.40468556278
50	15	1.45945531245	1.57079632679	14.0748462692	0.916147915456	8990.00357106	-18.3417155393	6.09233951477	0.255934927127	3995.49042392	6.6766435281	14.8425007365	2.51067110818
100	15	1.45945531245	1.57079632679	14.3892932852	0.851276525719	9014.37132961	-11.7920486546	9.10656666661	-1.36907730053	4006.41680493	7.12637749607	12.6922174927	0.770601122679
50	20	1.45945531245	1.57079632679	12.9904506065	1.17024759632	9014.66472441	-12.0864486918	9.81029061555	-2.09194382214	4009.74241329	10.6723456544	0.714446064299	2.52287492874
100	20	1.45945531245	1.57079632679	13.35669582	1.07809748324	8996.32854603	-14.8593617273	7.95463520144	-0.730231430739	3976.14094929	8.07770190002	39.0761877498	1.42716086262
