vrot	vout	theta_lower	theta_upper	std	skw
0	100	0.0	15.0	9.53786038399	-0.717475092664
100	100	0.0	15.0	9.72295845156	-0.689216478978
200	100	0.0	15.0	10.3084524549	-0.607974975603
300	100	0.0	15.0	11.2145219008	-0.506579477498
0	200	0.0	15.0	13.8154043853	-0.88806361613
100	200	0.0	15.0	13.9043331382	-0.887013466598
200	200	0.0	15.0	14.2580927876	-0.851900109682
300	200	0.0	15.0	14.8477136171	-0.796484275282
0	300	0.0	15.0	18.1994775734	-0.96100045106
100	300	0.0	15.0	18.3366990808	-0.977275822478
200	300	0.0	15.0	18.6515159917	-0.979217027401
300	300	0.0	15.0	19.1329063649	-0.96456346806
0	100	15.0	30.0	9.24139280928	-0.627267357992
100	100	15.0	30.0	9.54200203786	-0.580551106664
200	100	15.0	30.0	10.3732723857	-0.487746514385
300	100	15.0	30.0	11.6031841193	-0.38837691843
0	200	15.0	30.0	13.6891570535	-0.760272743923
100	200	15.0	30.0	13.8613504787	-0.735433803109
200	200	15.0	30.0	14.3608441057	-0.69134602537
300	200	15.0	30.0	15.1432300482	-0.63942554251
0	300	15.0	30.0	18.3246327487	-0.952425252848
100	300	15.0	30.0	18.4192863336	-0.950270009544
200	300	15.0	30.0	18.7834654543	-0.930849780743
300	300	15.0	30.0	19.3608410624	-0.897340057275
0	100	30.0	45.0	9.23653137239	-0.618492896154
100	100	30.0	45.0	9.62487419838	-0.5413658178
200	100	30.0	45.0	10.6897511087	-0.420148101699
300	100	30.0	45.0	12.2266602445	-0.318123328584
0	200	30.0	45.0	13.7594319698	-0.825231063905
100	200	30.0	45.0	14.0551768322	-0.797405767143
200	200	30.0	45.0	14.7809716076	-0.730532594039
300	200	30.0	45.0	15.8775521818	-0.649691141864
0	300	30.0	45.0	18.0087884968	-0.838380942832
100	300	30.0	45.0	18.1715693762	-0.825098379764
200	300	30.0	45.0	18.6674686188	-0.802932559448
300	300	30.0	45.0	19.4215717302	-0.765201096045
0	100	45.0	60.0	9.33390542878	-0.634105398543
100	100	45.0	60.0	9.72844704696	-0.598802545164
200	100	45.0	60.0	10.9194140089	-0.486931524349
300	100	45.0	60.0	12.683902601	-0.374317182088
0	200	45.0	60.0	13.8481644743	-0.814183741778
100	200	45.0	60.0	14.1375062853	-0.791769574112
200	200	45.0	60.0	14.9513034626	-0.72925545804
300	200	45.0	60.0	16.2062796953	-0.646162328792
0	300	45.0	60.0	18.062188613	-0.827373074353
100	300	45.0	60.0	18.2077738318	-0.796529957588
200	300	45.0	60.0	18.6886758406	-0.73009980695
300	300	45.0	60.0	19.5729819941	-0.670577263192
0	100	60.0	75.0	9.4461444807	-0.57800975539
100	100	60.0	75.0	9.96196917896	-0.523354048922
200	100	60.0	75.0	11.402715244	-0.417650511938
300	100	60.0	75.0	13.4570248369	-0.323466477626
0	200	60.0	75.0	13.9829799927	-0.844243063144
100	200	60.0	75.0	14.2401295048	-0.838621425792
200	200	60.0	75.0	15.0897578714	-0.774234917066
300	200	60.0	75.0	16.4686956482	-0.687647782119
0	300	60.0	75.0	17.5946064541	-0.821838387751
100	300	60.0	75.0	17.7905965693	-0.808808181914
200	300	60.0	75.0	18.4418597827	-0.770659127133
300	300	60.0	75.0	19.4873718046	-0.71720949859
0	100	75.0	90.0	9.64022785175	-0.688264571485
100	100	75.0	90.0	10.2383051708	-0.547403835768
200	100	75.0	90.0	11.7839817385	-0.376922342331
300	100	75.0	90.0	13.9705535328	-0.260402244169
0	200	75.0	90.0	13.6411030214	-0.877613680075
100	200	75.0	90.0	14.0765256264	-0.829957385724
200	200	75.0	90.0	15.1934172947	-0.727401130195
300	200	75.0	90.0	16.8428144655	-0.620623055522
0	300	75.0	90.0	18.2101094627	-0.764852748423
100	300	75.0	90.0	18.4576913163	-0.75367418348
200	300	75.0	90.0	19.1551483205	-0.723352365443
300	300	75.0	90.0	20.2785145423	-0.686056372046
