vrot	vout	theta_lower	theta_upper	std	skw
0	100	0.0	15.0	5.40572853348	-0.09686798325
100	100	0.0	15.0	5.57747109417	-0.138357653611
200	100	0.0	15.0	6.15758268847	-0.251989824038
300	100	0.0	15.0	7.0305037562	-0.342094465072
0	200	0.0	15.0	7.9883343534	-0.887498022818
100	200	0.0	15.0	8.13811018874	-0.909865262499
200	200	0.0	15.0	8.51021386329	-0.931363626502
300	200	0.0	15.0	9.09420874996	-0.945809248848
0	300	0.0	15.0	10.8947309176	-1.26101026811
100	300	0.0	15.0	10.9528059949	-1.25186710786
200	300	0.0	15.0	11.1428229408	-1.25095599803
300	300	0.0	15.0	11.4760200606	-1.24976097553
0	100	15.0	30.0	5.3597728244	-0.215031773951
100	100	15.0	30.0	5.69332005766	-0.333991661766
200	100	15.0	30.0	6.53305322883	-0.457434430089
300	100	15.0	30.0	7.70838746103	-0.49258626045
0	200	15.0	30.0	7.87577995411	-0.947813947857
100	200	15.0	30.0	8.01887136916	-0.928278550589
200	200	15.0	30.0	8.48629546916	-0.914439359403
300	200	15.0	30.0	9.23654186516	-0.897522178862
0	300	15.0	30.0	10.6611542799	-1.30392780478
100	300	15.0	30.0	10.7642256566	-1.30640470041
200	300	15.0	30.0	11.0193958703	-1.29416334589
300	300	15.0	30.0	11.4591269621	-1.28676557452
0	100	30.0	45.0	5.44916543074	-0.0950476687246
100	100	30.0	45.0	5.79532705454	-0.198126952051
200	100	30.0	45.0	6.75018928833	-0.313704369482
300	100	30.0	45.0	8.08374735207	-0.365679174609
0	200	30.0	45.0	7.87728987939	-0.941202729671
100	200	30.0	45.0	8.19955498672	-0.933799089864
200	200	30.0	45.0	8.88786292836	-0.913610055751
300	200	30.0	45.0	9.91433738677	-0.883929025669
0	300	30.0	45.0	10.4252678778	-1.24453927712
100	300	30.0	45.0	10.5490723203	-1.25361644249
200	300	30.0	45.0	10.9285574524	-1.26644741572
300	300	30.0	45.0	11.5476466475	-1.26818161931
0	100	45.0	60.0	5.2397952655	0.0068296072843
100	100	45.0	60.0	5.64995929525	-0.0913810333872
200	100	45.0	60.0	6.87327370246	-0.276654004567
300	100	45.0	60.0	8.58041789948	-0.339242969389
0	200	45.0	60.0	7.92629038818	-0.902856164635
100	200	45.0	60.0	8.1221376205	-0.938053618258
200	200	45.0	60.0	8.81644294404	-0.980123544019
300	200	45.0	60.0	9.89678465477	-0.982475022231
0	300	45.0	60.0	10.496143313	-1.17757238774
100	300	45.0	60.0	10.7272450417	-1.19307370588
200	300	45.0	60.0	11.2860248171	-1.20929643408
300	300	45.0	60.0	12.115247764	-1.21682604949
0	100	60.0	75.0	5.38249535637	-0.195531593416
100	100	60.0	75.0	5.90455291493	-0.297693090007
200	100	60.0	75.0	7.35904676224	-0.405285856729
300	100	60.0	75.0	9.31474558414	-0.402153648299
0	200	60.0	75.0	7.77986207082	-1.0527178985
100	200	60.0	75.0	8.01832893791	-1.08884599801
200	200	60.0	75.0	8.8146743358	-1.10066978513
300	200	60.0	75.0	10.0392546658	-1.06066479622
0	300	60.0	75.0	10.7437795825	-1.29148440638
100	300	60.0	75.0	10.9312315516	-1.27152491566
200	300	60.0	75.0	11.4814524487	-1.24732984455
300	300	60.0	75.0	12.3488602424	-1.21221888258
0	100	75.0	90.0	5.44725165683	-0.0828224096231
100	100	75.0	90.0	6.00675723418	-0.239257555159
200	100	75.0	90.0	7.44832629595	-0.365339311646
300	100	75.0	90.0	9.37553099754	-0.368289268457
0	200	75.0	90.0	7.66868619936	-0.918364810477
100	200	75.0	90.0	8.00223363627	-0.966204170766
200	200	75.0	90.0	8.90999555071	-0.997799293713
300	200	75.0	90.0	10.221824043	-0.977122223115
0	300	75.0	90.0	10.5280219574	-1.22170329334
100	300	75.0	90.0	10.8872274194	-1.23264070562
200	300	75.0	90.0	11.6403376327	-1.25248253036
300	300	75.0	90.0	12.7197325424	-1.25673309353
