vrot	vout	theta_lower	theta_upper	std	skw
50	25	0.0	10.0	6.30731738106	1.13280208319
100	25	0.0	10.0	6.29520012283	1.14407188669
50	50	0.0	10.0	5.07431810941	0.522216114009
100	50	0.0	10.0	5.07477211395	0.535224594659
50	75	0.0	10.0	5.30935382302	-0.606590306183
100	75	0.0	10.0	5.2796628925	-0.523922474413
50	25	10.0	20.0	6.16685254325	1.11154461681
100	25	10.0	20.0	6.2623549723	1.06939929786
50	50	10.0	20.0	5.23201573175	0.636036757724
100	50	10.0	20.0	5.29884941069	0.609085685065
50	75	10.0	20.0	5.53716464778	-0.28138105293
100	75	10.0	20.0	5.58959898508	-0.283893693718
50	25	20.0	30.0	6.25418039799	1.0899484483
100	25	20.0	30.0	6.35607065447	1.00164903981
50	50	20.0	30.0	5.28126666438	0.521737750069
100	50	20.0	30.0	5.43744251648	0.491435780305
50	75	20.0	30.0	5.40515509324	-0.356936096527
100	75	20.0	30.0	5.56437120072	-0.361628449741
50	25	30.0	40.0	6.24384370355	1.10186866152
100	25	30.0	40.0	6.47499264851	0.980071869586
50	50	30.0	40.0	5.2714720019	0.559423106975
100	50	30.0	40.0	5.53703453723	0.487011239855
50	75	30.0	40.0	5.53250508236	-0.333362935952
100	75	30.0	40.0	5.74406662442	-0.331507077042
50	25	40.0	50.0	6.2741832779	1.09453105332
100	25	40.0	50.0	6.59203828434	0.941930725891
50	50	40.0	50.0	5.3043102965	0.57674924806
100	50	40.0	50.0	5.65473183484	0.468620889862
50	75	40.0	50.0	5.58044671304	-0.390036921876
100	75	40.0	50.0	5.89671329179	-0.386963724543
50	25	50.0	60.0	6.32906621038	1.08610022281
100	25	50.0	60.0	6.7632306002	0.886902541567
50	50	50.0	60.0	5.32808077676	0.466950098773
100	50	50.0	60.0	5.78108624734	0.316297341475
50	75	50.0	60.0	5.65772083577	-0.397313060377
100	75	50.0	60.0	6.07339524701	-0.374074931162
50	25	60.0	70.0	6.42554211086	1.0614356303
100	25	60.0	70.0	6.96901452886	0.849552471587
50	50	60.0	70.0	5.38487855527	0.515984855034
100	50	60.0	70.0	5.9455655639	0.366706980317
50	75	60.0	70.0	5.71123665942	-0.389512647603
100	75	60.0	70.0	6.21577473887	-0.380713944228
50	25	70.0	80.0	6.45858660592	1.03906661726
100	25	70.0	80.0	7.03188957753	0.789362157901
50	50	70.0	80.0	5.33068085061	0.460502497211
100	50	70.0	80.0	5.95767812924	0.293884258514
50	75	70.0	80.0	5.67526348619	-0.333527157687
100	75	70.0	80.0	6.24475173363	-0.328013465621
50	25	80.0	90.0	6.47789965574	1.03307525238
100	25	80.0	90.0	7.10285257625	0.804840961837
50	50	80.0	90.0	5.44421462972	0.453490696844
100	50	80.0	90.0	6.09972555162	0.274409173739
50	75	80.0	90.0	5.65530265529	-0.358389372782
100	75	80.0	90.0	6.25758258923	-0.333515942917
