vrot	vout	theta_lower	theta_upper	std	skw
50	25	0.0	10.0	11.9461169551	1.33872374887
100	25	0.0	10.0	11.9613913977	1.33445384207
50	50	0.0	10.0	8.49952534113	0.657143791311
100	50	0.0	10.0	8.5079374327	0.651817461921
50	75	0.0	10.0	8.43471928399	-0.350743022475
100	75	0.0	10.0	8.41039117891	-0.379774509246
50	25	10.0	20.0	11.6577777071	1.44612136789
100	25	10.0	20.0	11.6914250004	1.44025888476
50	50	10.0	20.0	8.71177010564	0.898256334307
100	50	10.0	20.0	8.7563849536	0.890104758448
50	75	10.0	20.0	8.39246134909	-0.270239213399
100	75	10.0	20.0	8.42052227216	-0.265008215432
50	25	20.0	30.0	11.9614332928	1.35951063816
100	25	20.0	30.0	12.0261449595	1.34068086484
50	50	20.0	30.0	8.63710429409	0.810227835696
100	50	20.0	30.0	8.73201645332	0.785920541544
50	75	20.0	30.0	8.54093557136	-0.409982944369
100	75	20.0	30.0	8.65155257893	-0.400105523861
50	25	30.0	40.0	11.7093325212	1.39485633707
100	25	30.0	40.0	11.8375459758	1.34323287414
50	50	30.0	40.0	8.59308878808	0.816157066697
100	50	30.0	40.0	8.76410473271	0.771386009128
50	75	30.0	40.0	8.60058826766	-0.319287286644
100	75	30.0	40.0	8.77701553585	-0.305004102185
50	25	40.0	50.0	11.8993388094	1.35190678691
100	25	40.0	50.0	12.1024252411	1.28682832411
50	50	40.0	50.0	8.80448185052	0.833846625367
100	50	40.0	50.0	9.04442232407	0.765489676411
50	75	40.0	50.0	8.6195524009	-0.246869750116
100	75	40.0	50.0	8.86692702883	-0.249189580177
50	25	50.0	60.0	11.9484995713	1.36286900568
100	25	50.0	60.0	12.2088778406	1.28008626368
50	50	50.0	60.0	8.63095897896	0.710032657763
100	50	50.0	60.0	8.95647163237	0.608688314576
50	75	50.0	60.0	8.62120787824	-0.333047573687
100	75	50.0	60.0	8.96486891473	-0.31104342778
50	25	60.0	70.0	11.7937940675	1.36538296161
100	25	60.0	70.0	12.1328454653	1.25583017738
50	50	60.0	70.0	8.75359590501	0.805609271456
100	50	60.0	70.0	9.17266742474	0.689884651526
50	75	60.0	70.0	8.62894850519	-0.307351764294
100	75	60.0	70.0	9.02610280487	-0.292468213421
50	25	70.0	80.0	11.9677919858	1.37894014163
100	25	70.0	80.0	12.3194515519	1.25950465221
50	50	70.0	80.0	8.65537105108	0.661862975113
100	50	70.0	80.0	9.10500826183	0.555422995536
50	75	70.0	80.0	8.76306158393	-0.311380602009
100	75	70.0	80.0	9.19279233589	-0.288318954209
50	25	80.0	90.0	11.990822109	1.3584495697
100	25	80.0	90.0	12.3849947137	1.23032486527
50	50	80.0	90.0	8.72427249344	0.747229364526
100	50	80.0	90.0	9.19456065684	0.612214936792
50	75	80.0	90.0	8.57784135623	-0.351230325893
100	75	80.0	90.0	9.03820535034	-0.313486352755
