vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	sigma_neg	center_neg	gamma_neg	amplitude_pos	sigma_pos	center_pos	gamma_pos
50	5	0.0	0.47588224966	7.61311834904	0.298725550817	9007.76083476	-7.61057029325	3.40174521471	0.119219497922	3988.56798742	5.8507675225	2.90135378279	0.432507090637
100	5	0.0	0.47588224966	7.66903930245	0.293132501239	9007.21643872	-6.8579365292	3.53152614082	-0.222051740634	4006.62965837	4.50771588497	3.98728860767	6.15370242839
50	10	0.0	0.47588224966	7.34210873276	0.555232233459	8997.40360997	-4.85997377645	4.56057981214	-1.53446808014	3982.608433	4.73690974532	3.32140845428	1.4613742511
100	10	0.0	0.47588224966	7.39838538094	0.539627846622	8999.03811839	-5.38024460009	4.35504774075	-0.985122473352	4004.61557558	4.65589849208	3.57871044285	1.3923594515
50	15	0.0	0.47588224966	7.04842431089	0.776397972925	8999.38332643	-4.74589664055	4.8513098891	-2.04249259804	3999.66765263	4.6030601581	3.83915281191	1.38817098545
100	15	0.0	0.47588224966	7.11250327671	0.753925403505	8996.96983351	-4.88730043988	4.81894563274	-1.84139835053	4003.25149449	4.68058714417	4.19039837289	1.97370324944
50	20	0.0	0.47588224966	6.67656200959	0.981116284572	8990.94038192	-10.3275873878	3.79190215055	0.846201724649	3988.07037005	3.32348773562	29.9949015186	21.5724127608
100	20	0.0	0.47588224966	6.73884172991	0.949693676799	9008.72648486	-11.4942529704	5.06940020712	1.80457335229	3996.48114651	2.78260257197	19.7356473001	23.8225356364
50	5	0.47588224966	0.679673818908	7.60476840013	0.296640620355	8993.45577327	-3.95750511873	5.78364251641	-1.83994821675	4003.07984266	8.89794861775	3.49163446	-1.06659358474
100	5	0.47588224966	0.679673818908	7.77702774213	0.27925220303	9003.93110283	-10.9679169252	6.48105151946	1.82419741949	4006.51758179	4.35714616982	4.17228582729	2.44343419093
50	10	0.47588224966	0.679673818908	7.35562313274	0.567283762097	9002.68485711	-4.10872779009	4.67087393021	-2.01589041366	4004.82894676	3.58456467671	4.57153022112	3.29152598094
100	10	0.47588224966	0.679673818908	7.52780228485	0.530614646335	9005.71558182	-10.4729768341	4.94907172705	1.13568460075	3998.86804143	3.4162856348	8.15363002235	9.28034066139
50	15	0.47588224966	0.679673818908	7.00895869453	0.822371609413	8986.86572846	-4.85110804075	4.94046602652	-2.0939697925	4008.77794091	3.15807544275	5.82504569621	3.92728943105
100	15	0.47588224966	0.679673818908	7.18306900988	0.757066554438	8995.06518288	-4.44956492363	6.06006112027	-2.32733662844	3996.90175927	8.06057684043	4.53383936216	-0.324195901987
50	20	0.47588224966	0.679673818908	6.60908634811	1.00595386706	9018.6409306	-5.16610550949	5.50239808903	-3.1722061699	4013.33707016	10.4397496542	11.689017604	-11.1662394669
100	20	0.47588224966	0.679673818908	6.8076890721	0.922241902744	9001.05788874	-5.49722644313	5.10327515217	-2.17825917005	3985.55629184	-1.37008402268	12.6006524338	4.21640046743
50	5	0.679673818908	0.841068670568	7.67571973499	0.286598175897	9001.53590817	-4.00892771728	5.75011235909	-1.84325206331	3991.01763572	7.5526707828	2.48894445455	-0.0848574308337
100	5	0.679673818908	0.841068670568	7.94339442065	0.25938218797	9006.90174738	-11.8987369006	8.58049114931	2.81438131697	3995.31931339	4.19612777148	5.13647733173	3.86990810612
