vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	center_neg	sigma_neg	gamma_neg	amplitude_pos	center_pos	sigma_pos	gamma_pos	amplitude_neg_std	center_neg_std	sigma_neg_std	gamma_neg_std	amplitude_pos_std	center_pos_std	sigma_pos_std	gamma_pos_std
50	5	0.0	0.47588224966	15.6764829693	0.307478533541	9014.25626127	-21.7920144436	10.4002384921	2.11977278142	4006.66995064	18.0831776375	5.94911433511	-0.830673669946	6.2795927845	5.03038469819	1.56085156456	1.54572729079	2.96780890063	3.0691698993	1.20300770587	1.2452279924
100	5	0.0	0.47588224966	15.7162272709	0.305610033141	8984.56727845	-14.809906594	7.28366481025	-0.170058305494	3998.84200386	9.52905288922	9.16696259509	5.03246111256	5.54714337572	2.01826207078	1.12296110209	0.63349018863	2.15388460073	1.35714876959	0.993670817311	1.07522536632
50	10	0.0	0.47588224966	14.9551832615	0.656935966463	8996.9276914	-21.3906453029	8.63087368027	1.27873940252	3991.20291971	12.6185152869	5.12793625875	0.255362024501	2.6254019456	4.8031547468	1.09653141128	1.69052656879	5.23922494128	1.42780196496	1.36628852469	0.899848396246
100	10	0.0	0.47588224966	14.9724584703	0.651839193717	8990.862665	-18.5874232696	6.83221669532	0.373988909785	3982.72603122	20.0719996733	8.61541089056	-1.98865004955	3.43096618586	3.55177766577	0.924349791293	0.87279014338	4.91466592983	3.75199625042	1.42859943441	1.33587997847
50	15	0.0	0.47588224966	14.060531099	0.935669241729	9013.47477595	-17.2659899958	6.949763746	-0.127835847363	3995.01608588	4.6069342483	16.8572994226	6.85065935472	3.85522113635	3.29937779539	0.932059169807	1.09761549249	3.1615832119	1.29507879292	3.68566956955	3.0025667834
100	15	0.0	0.47588224966	14.0997104968	0.927732724147	8976.77344094	-21.9761797167	8.26132540773	1.43055422286	3996.15708616	6.17077282646	17.0955903063	12.9480675504	8.21922316611	3.96259054633	1.17063943908	1.33447945472	3.14285316271	1.0720067298	3.51342415705	4.60966980564
50	20	0.0	0.47588224966	12.9048841191	1.21154326314	9017.80883016	-21.329974442	6.22828124628	0.495043297821	3989.10187154	24.3186707543	23.1732138496	-10.7234468029	5.3623779513	3.64343053572	1.25736633763	0.948945705397	5.49517326846	5.61758101425	4.63648500666	3.57940125645
100	20	0.0	0.47588224966	12.945131476	1.19930672732	9001.432826	-20.0489618996	6.16693387161	0.326598309278	4005.98252892	4.1573587199	33.5430167104	8.5458870638	3.48645152188	3.72162200639	1.25661167749	1.25450339124	4.14687858794	1.68743866729	5.90711607563	3.95391076203
50	5	0.47588224966	0.679673818908	15.5411956866	0.363543577626	9008.24925608	-21.3346422203	9.58823340396	1.69522983895	3999.37838771	14.7924808905	5.19938672209	-0.0663990246282	2.6950417366	4.60061866847	1.4804294812	1.44344945244	1.798724205	3.30048889452	1.37047702414	1.52719186501
100	5	0.47588224966	0.679673818908	15.6260528226	0.359057239736	8999.18258188	-22.1965139997	10.7642438617	2.14722913216	4001.04756839	14.7602057399	5.04329107874	0.325363869962	3.812236658	3.60941892678	1.04100687049	0.942621104407	2.20020706039	1.66233321448	1.16108254093	0.839228898613
